ticker,company_name,sector,universe_group,cik,notes
WMT,Walmart Inc,Consumer Discretionary,expanded_100,104169,Mass retail / grocery / e-commerce
COST,Costco Wholesale Corp,Consumer Discretionary,expanded_100,909832,Warehouse club retail
NKE,Nike Inc,Consumer Discretionary,expanded_100,320187,Athletic footwear and apparel
MCD,McDonald's Corp,Consumer Discretionary,expanded_100,63908,Quick-service restaurant / franchise
SBUX,Starbucks Corp,Consumer Discretionary,expanded_100,829224,Coffee retail / digital loyalty
LOW,Lowe's Companies Inc,Consumer Discretionary,expanded_100,60667,Home improvement retail
TGT,Target Corp,Consumer Discretionary,expanded_100,27419,Mass merchandise retail
BKNG,Booking Holdings Inc,Consumer Discretionary,expanded_100,1075531,Online travel / accommodations
PG,Procter & Gamble Co,Consumer Staples,expanded_100,80424,Consumer products / household / beauty
KO,Coca-Cola Co,Consumer Staples,expanded_100,21344,Beverage brands
PEP,PepsiCo Inc,Consumer Staples,expanded_100,77476,Beverages and snacks
PM,Philip Morris International Inc,Consumer Staples,expanded_100,1413329,Tobacco / smoke-free products
CL,Colgate-Palmolive Co,Consumer Staples,expanded_100,21665,Oral care / personal care / home care
MDLZ,Mondelez International Inc,Consumer Staples,expanded_100,1418135,Global snacks / biscuits / chocolate
GE,GE Aerospace,Industrials,expanded_100,40554,Jet engines / aerospace / defense
HON,Honeywell International Inc,Industrials,expanded_100,773840,Aerospace / building automation / safety
CAT,Caterpillar Inc,Industrials,expanded_100,18230,Construction / mining equipment
DE,Deere & Company,Industrials,expanded_100,315189,Agricultural / construction equipment
MMM,3M Co,Industrials,expanded_100,66740,Industrial / safety / consumer products
UPS,United Parcel Service Inc,Industrials,expanded_100,1090727,Package delivery / logistics
BA,Boeing Co,Industrials,expanded_100,12927,Commercial / defense aircraft
LMT,Lockheed Martin Corp,Industrials,expanded_100,936468,Defense / aerospace / government
FDX,FedEx Corp,Industrials,expanded_100,230569,Express delivery / freight / logistics
NOC,Northrop Grumman Corp,Industrials,expanded_100,1133421,Aerospace / defense / cyber
XOM,Exxon Mobil Corp,Energy,expanded_100,34088,Integrated oil & gas / chemicals
CVX,Chevron Corp,Energy,expanded_100,93410,Integrated oil & gas
COP,ConocoPhillips,Energy,expanded_100,1163165,Oil & gas exploration & production
SLB,Schlumberger Ltd,Energy,expanded_100,87347,Oilfield services & technology
OXY,Occidental Petroleum Corp,Energy,expanded_100,797468,Oil & gas E&P / chemicals
NEE,NextEra Energy Inc,Utilities,expanded_100,753308,Renewable energy / regulated utility
DUK,Duke Energy Corp,Utilities,expanded_100,1326160,Electric / gas utility
SO,Southern Co,Utilities,expanded_100,92122,Electric utility / natural gas
EQIX,Equinix Inc,Real Estate,expanded_100,1101239,Data center REIT / colocation
PLD,Prologis Inc,Real Estate,expanded_100,1045609,Industrial / logistics REIT
AMT,American Tower Corp,Real Estate,expanded_100,1053354,Cell tower REIT / infrastructure
CVS,CVS Health Corp,Healthcare,expanded_100,64803,Pharmacy / PBM / health insurance
PYPL,PayPal Holdings Inc,Financials,expanded_100,1633917,Digital payments / fintech
