ticker,company_name,cik,sector,industry,active,universe_group,data_status,notes,validation_status,company_facts_status,market_cap_status,model_output_status,filing_10k_status,filing_10q_status,current_market_status,last_pipeline_run,failure_reason
KLAC,KLA Corp,319201,Technology,,True,expanded_100,available,Semiconductor process control / inspection,,available,ok,ok,ok,ok,ok,,
MCHP,Microchip Technology Inc,827054,Technology,,True,expanded_100,available,Microcontrollers / analog,,available,ok,ok,ok,ok,ok,,
ON,ON Semiconductor Corp,863894,Technology,,True,expanded_100,available,Power / sensing / connectivity chips,,available,ok,ok,ok,ok,ok,,
SWKS,Skyworks Solutions Inc,4127,Technology,,True,expanded_100,available,RF / analog semiconductors,,available,ok,ok,ok,ok,ok,,
MRVL,Marvell Technology Inc,1058057,Technology,,True,expanded_100,available,Data infrastructure semiconductors,,available,ok,ok,ok,ok,ok,,
NOW,ServiceNow Inc,1373715,Technology,,True,expanded_100,available,Enterprise workflow / IT management cloud,,available,ok,ok,ok,ok,ok,,
PANW,Palo Alto Networks Inc,1327567,Technology,,True,expanded_100,available,Cybersecurity platform,,available,ok,ok,ok,ok,ok,,
FTNT,Fortinet Inc,1262039,Technology,,True,expanded_100,available,Network security / SASE,,available,ok,ok,ok,ok,ok,,
WDAY,Workday Inc,1327811,Technology,,True,expanded_100,available,HR / finance cloud software,,available,ok,ok,ok,ok,ok,,
CDNS,Cadence Design Systems Inc,813672,Technology,,True,expanded_100,available,EDA software / semiconductor design,,available,ok,ok,ok,ok,ok,,
SNPS,Synopsys Inc,883241,Technology,,True,expanded_100,available,EDA software / semiconductor IP,,available,ok,ok,ok,ok,ok,,
CTSH,Cognizant Technology Solutions,1058290,Technology,,True,expanded_100,available,IT services / consulting,,available,ok,ok,ok,ok,ok,,
OKTA,Okta Inc,1660134,Technology,,True,expanded_100,available,Identity management / zero trust,,available,ok,ok,ok,ok,ok,,
DDOG,Datadog Inc,1707753,Technology,,True,expanded_100,available,Cloud monitoring / observability,,available,ok,ok,ok,ok,ok,,
ZS,Zscaler Inc,1713683,Technology,,True,expanded_100,available,Cloud security / zero trust network,,available,ok,ok,ok,ok,ok,,
MPWR,Monolithic Power Systems Inc,1280452,Technology,,True,expanded_100,available,Power management semiconductors,,available,ok,ok,ok,ok,ok,,
T,AT&T Inc,732717,Communication Services,,True,expanded_100,available,Telecom / wireless / fiber,,available,ok,ok,ok,ok,ok,,
VZ,Verizon Communications Inc,732712,Communication Services,,True,expanded_100,available,Wireless / broadband,,available,ok,ok,ok,ok,ok,,
CMCSA,Comcast Corp,1166691,Communication Services,,True,expanded_100,available,Cable / broadband / NBCUniversal,,available,ok,ok,ok,ok,ok,,
DIS,Walt Disney Co,1001039,Communication Services,,True,expanded_100,available,Entertainment / streaming / parks,,available,ok,ok,ok,ok,ok,,
TMUS,T-Mobile US Inc,1283699,Communication Services,,True,expanded_100,available,Wireless / broadband,,available,ok,ok,ok,ok,ok,,
CHTR,Charter Communications Inc,1091667,Communication Services,,True,expanded_100,available,Cable / broadband,,available,ok,ok,ok,ok,ok,,
JPM,JPMorgan Chase & Co,19617,Financials,,True,expanded_100,available,Diversified banking / investment bank,,available,ok,ok,ok,ok,ok,,
BAC,Bank of America Corp,70858,Financials,,True,expanded_100,available,Retail / commercial banking,,available,ok,ok,ok,ok,ok,,
GS,Goldman Sachs Group Inc,886982,Financials,,True,expanded_100,pending,Investment banking / asset management,,,skipped_no_fundamentals,not_in_outputs,pending,ok,pending,,
MS,Morgan Stanley,895421,Financials,,True,expanded_100,pending,Investment banking / wealth management,,,skipped_no_fundamentals,not_in_outputs,pending,ok,pending,,
V,Visa Inc,1403161,Financials,,True,expanded_100,available,Payment network,,available,ok,ok,ok,ok,ok,,
MA,Mastercard Inc,1141391,Financials,,True,expanded_100,available,Payment network,,available,ok,ok,ok,ok,ok,,
AXP,American Express Co,4962,Financials,,True,expanded_100,available,Charge / credit cards / travel,,available,ok,ok,ok,ok,ok,,
BLK,BlackRock Inc,1364742,Financials,,True,expanded_100,available,Asset management / iShares ETFs,,available,ok,ok,ok,ok,ok,,
C,Citigroup Inc,831001,Financials,,True,expanded_100,available,Global banking / institutional,,available,ok,ok,ok,ok,ok,,
WFC,Wells Fargo & Co,72971,Financials,,True,expanded_100,available,Retail / commercial banking,,available,ok,ok,ok,ok,ok,,
SCHW,Charles Schwab Corp,316557,Financials,,True,expanded_100,failed,Brokerage / wealth / banking,,,skipped_no_fundamentals,not_in_outputs,pending,ok,pending,,SEC facts: requests: 404 Client Error: Not Found for url: https://data.sec.gov/api/xbrl/companyfacts/CIK0000316557.json | urllib: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify fai
COF,Capital One Financial Corp,927628,Financials,,True,expanded_100,available,Credit cards / banking,,available,ok,ok,ok,ok,ok,,
ICE,Intercontinental Exchange Inc,1571949,Financials,,True,expanded_100,available,Exchange operator / data / mortgage,,available,ok,ok,ok,ok,ok,,
CME,CME Group Inc,1156375,Financials,,True,expanded_100,available,Futures / derivatives exchange,,available,ok,ok,ok,ok,ok,,
CB,Chubb Ltd,896159,Financials,,True,expanded_100,available,Property & casualty insurance,,available,ok,ok,ok,ok,ok,,
JNJ,Johnson & Johnson,200406,Healthcare,,True,expanded_100,available,Pharma / medtech,,available,ok,ok,ok,ok,ok,,
UNH,UnitedHealth Group Inc,731766,Healthcare,,True,expanded_100,available,Managed care / Optum,,available,ok,ok,ok,ok,ok,,
ABBV,AbbVie Inc,1551152,Healthcare,,True,expanded_100,available,Immunology / oncology biotech,,available,ok,ok,ok,ok,ok,,
PFE,Pfizer Inc,78003,Healthcare,,True,expanded_100,available,Large-cap pharmaceutical,,available,ok,ok,ok,ok,ok,,
MRK,Merck & Co Inc,310158,Healthcare,,True,expanded_100,available,Pharma / oncology / vaccines,,available,ok,ok,ok,ok,ok,,
TMO,Thermo Fisher Scientific Inc,97745,Healthcare,,True,expanded_100,available,Lab instruments / life science tools,,available,ok,ok,ok,ok,ok,,
ABT,Abbott Laboratories,1800,Healthcare,,True,expanded_100,available,Diagnostics / devices / nutrition,,available,ok,ok,ok,ok,ok,,
AMGN,Amgen Inc,318154,Healthcare,,True,expanded_100,available,Biopharmaceuticals / biosimilars,,available,ok,ok,ok,ok,ok,,
GILD,Gilead Sciences Inc,882184,Healthcare,,True,expanded_100,available,Antiviral / oncology biotech,,available,ok,ok,ok,ok,ok,,
VRTX,Vertex Pharmaceuticals Inc,875320,Healthcare,,True,expanded_100,available,Cystic fibrosis / gene editing,,available,ok,ok,ok,ok,ok,,
REGN,Regeneron Pharmaceuticals Inc,872589,Healthcare,,True,expanded_100,available,Antibody medicines / retinal / oncology,,available,ok,ok,ok,ok,ok,,
BMY,Bristol-Myers Squibb Co,14272,Healthcare,,True,expanded_100,available,Oncology / immunology pharma,,available,ok,ok,ok,ok,ok,,
ISRG,Intuitive Surgical Inc,1035267,Healthcare,,True,expanded_100,available,Robotic surgery systems,,available,ok,ok,ok,ok,ok,,
HCA,HCA Healthcare Inc,860730,Healthcare,,True,expanded_100,available,Hospital / health system operator,,available,ok,ok,ok,ok,ok,,
BIIB,Biogen Inc,875045,Healthcare,,True,expanded_100,available,Neuroscience / MS / Alzheimer's,,available,ok,ok,ok,ok,ok,,
HD,Home Depot Inc,354950,Consumer Discretionary,,True,expanded_100,available,Home improvement retail,,available,ok,ok,ok,ok,ok,,
WMT,Walmart Inc,104169,Consumer Discretionary,,True,expanded_100,available,Mass retail / grocery / e-commerce,,available,ok,ok,ok,ok,ok,,
COST,Costco Wholesale Corp,909832,Consumer Discretionary,,True,expanded_100,available,Warehouse club retail,,available,ok,ok,ok,ok,ok,,
NKE,Nike Inc,320187,Consumer Discretionary,,True,expanded_100,available,Athletic footwear and apparel,,available,ok,ok,ok,ok,ok,,
MCD,McDonald's Corp,63908,Consumer Discretionary,,True,expanded_100,available,Quick-service restaurant / franchise,,available,ok,ok,ok,ok,ok,,
SBUX,Starbucks Corp,829224,Consumer Discretionary,,True,expanded_100,available,Coffee retail / digital loyalty,,available,ok,ok,ok,ok,ok,,
LOW,Lowe's Companies Inc,60667,Consumer Discretionary,,True,expanded_100,available,Home improvement retail,,available,ok,ok,ok,ok,ok,,
TGT,Target Corp,27419,Consumer Discretionary,,True,expanded_100,available,Mass merchandise retail,,available,ok,ok,ok,ok,ok,,
BKNG,Booking Holdings Inc,1075531,Consumer Discretionary,,True,expanded_100,available,Online travel / accommodations,,available,ok,ok,ok,ok,ok,,
PG,Procter & Gamble Co,80424,Consumer Staples,,True,expanded_100,available,Consumer products / household / beauty,,available,ok,ok,ok,ok,ok,,
KO,Coca-Cola Co,21344,Consumer Staples,,True,expanded_100,available,Beverage brands,,available,ok,ok,ok,ok,ok,,
PEP,PepsiCo Inc,77476,Consumer Staples,,True,expanded_100,available,Beverages and snacks,,available,ok,ok,ok,ok,ok,,
PM,Philip Morris International Inc,1413329,Consumer Staples,,True,expanded_100,available,Tobacco / smoke-free products,,available,ok,ok,ok,ok,ok,,
CL,Colgate-Palmolive Co,21665,Consumer Staples,,True,expanded_100,available,Oral care / personal care / home care,,available,ok,ok,ok,ok,ok,,
MDLZ,Mondelez International Inc,1418135,Consumer Staples,,True,expanded_100,available,Global snacks / biscuits / chocolate,,available,ok,ok,ok,ok,ok,,
GE,GE Aerospace,40554,Industrials,,True,expanded_100,failed,Jet engines / aerospace / defense,,,skipped_no_fundamentals,not_in_outputs,pending,ok,pending,,extract returned 0 rows
HON,Honeywell International Inc,773840,Industrials,,True,expanded_100,available,Aerospace / building automation / safety,,available,ok,ok,ok,ok,ok,,
CAT,Caterpillar Inc,18230,Industrials,,True,expanded_100,available,Construction / mining equipment,,available,ok,ok,ok,ok,ok,,
DE,Deere & Company,315189,Industrials,,True,expanded_100,available,Agricultural / construction equipment,,available,ok,ok,ok,ok,ok,,
MMM,3M Co,66740,Industrials,,True,expanded_100,available,Industrial / safety / consumer products,,available,ok,ok,ok,ok,ok,,
UPS,United Parcel Service Inc,1090727,Industrials,,True,expanded_100,available,Package delivery / logistics,,available,ok,ok,ok,ok,ok,,
BA,Boeing Co,12927,Industrials,,True,expanded_100,available,Commercial / defense aircraft,,available,ok,ok,ok,ok,ok,,
LMT,Lockheed Martin Corp,936468,Industrials,,True,expanded_100,available,Defense / aerospace / government,,available,ok,ok,ok,ok,ok,,
FDX,FedEx Corp,230569,Industrials,,True,expanded_100,failed,Express delivery / freight / logistics,,,skipped_no_fundamentals,not_in_outputs,pending,ok,pending,,SEC facts: requests: 404 Client Error: Not Found for url: https://data.sec.gov/api/xbrl/companyfacts/CIK0000230569.json | urllib: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify fai
NOC,Northrop Grumman Corp,1133421,Industrials,,True,expanded_100,available,Aerospace / defense / cyber,,available,ok,ok,ok,ok,ok,,
XOM,Exxon Mobil Corp,34088,Energy,,True,expanded_100,available,Integrated oil & gas / chemicals,,available,ok,ok,ok,ok,ok,,
CVX,Chevron Corp,93410,Energy,,True,expanded_100,available,Integrated oil & gas,,available,ok,ok,ok,ok,ok,,
COP,ConocoPhillips,1163165,Energy,,True,expanded_100,available,Oil & gas exploration & production,,available,ok,ok,ok,ok,ok,,
SLB,Schlumberger Ltd,87347,Energy,,True,expanded_100,available,Oilfield services & technology,,available,ok,ok,ok,ok,ok,,
OXY,Occidental Petroleum Corp,797468,Energy,,True,expanded_100,available,Oil & gas E&P / chemicals,,available,ok,ok,ok,ok,ok,,
NEE,NextEra Energy Inc,753308,Utilities,,True,expanded_100,available,Renewable energy / regulated utility,,available,ok,ok,ok,ok,ok,,
DUK,Duke Energy Corp,1326160,Utilities,,True,expanded_100,available,Electric / gas utility,,available,ok,ok,ok,ok,ok,,
SO,Southern Co,92122,Utilities,,True,expanded_100,available,Electric utility / natural gas,,available,ok,ok,ok,ok,ok,,
EQIX,Equinix Inc,1101239,Real Estate,,True,expanded_100,available,Data center REIT / colocation,,available,ok,ok,ok,ok,ok,,
PLD,Prologis Inc,1045609,Real Estate,,True,expanded_100,available,Industrial / logistics REIT,,available,ok,ok,ok,ok,ok,,
AMT,American Tower Corp,1053354,Real Estate,,True,expanded_100,failed,Cell tower REIT / infrastructure,,,skipped_no_fundamentals,not_in_outputs,pending,ok,pending,,SEC facts: requests: 404 Client Error: Not Found for url: https://data.sec.gov/api/xbrl/companyfacts/CIK0001053354.json | urllib: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify fai
CVS,CVS Health Corp,64803,Healthcare,,True,expanded_100,available,Pharmacy / PBM / health insurance,,available,ok,ok,ok,ok,ok,,
PYPL,PayPal Holdings Inc,1633917,Financials,,True,expanded_100,available,Digital payments / fintech,,available,ok,ok,ok,ok,ok,,
APLD,,,,,True,custom,pending,added via expand_universe_for_tickers; data not yet generated,,,available,,unavailable,unavailable,available,2026-07-18T10:42:33,no CIK for 10-Q lookup
SOFI,,,,,True,custom,pending,added via expand_universe_for_tickers; data not yet generated,,,available,,unavailable,unavailable,available,2026-07-18T10:43:43,no CIK for 10-Q lookup
